frame,track_id,class_name,confidence,x1,y1,x2,y2,pixel_speed_px_per_frame
33,5,bus,0.6997,0,397,487,1062,1.904
33,21,person,0.4265,1461,192,1492,270,0.354
34,1,bus,0.9121,1471,208,1812,769,2.151
34,2,car,0.6719,459,162,531,250,0.354
34,3,car,0.752,490,133,552,178,0.25
34,6,car,0.3588,627,124,705,188,0.791
34,7,bus,0.6719,388,97,476,179,0.25
34,9,bus,0.5468,279,103,389,212,1.458
34,5,bus,0.4224,0,396,489,1063,1.601
34,21,person,0.3896,1460,192,1491,270,0.559
35,1,bus,0.9043,1470,206,1813,773,1.803
35,2,car,0.6706,459,162,531,250,0.559
35,3,car,0.7286,490,133,552,178,0.25
35,6,car,0.4036,626,124,704,188,1.031
35,7,bus,0.6191,387,98,476,180,0.25
35,9,bus,0.4759,277,102,388,213,1.275
35,5,bus,0.3547,0,391,494,1067,1.601
35,21,person,0.3661,1460,192,1491,271,0.25
36,1,bus,0.9099,1470,207,1815,779,2.372
36,2,car,0.6791,459,162,531,250,0.354
36,3,car,0.7334,489,133,551,178,0.25
36,6,car,0.4221,626,124,704,188,0.791
36,7,bus,0.6701,386,97,476,180,0.354
36,9,bus,0.3543,278,101,389,211,0.901
36,5,bus,0.5328,0,387,496,1066,1.768
36,21,person,0.4055,1459,191,1490,270,0.559
37,1,bus,0.8859,1468,206,1814,782,1.768
37,2,car,0.6904,460,162,531,249,0.25
37,3,car,0.7371,489,133,551,178,0.25
37,6,car,0.5106,626,124,705,188,0.791
37,7,bus,0.6698,386,97,476,180,0.25
37,9,bus,0.3104,280,101,384,204,1.677
37,5,bus,0.5333,1,384,499,1063,2.305
37,21,person,0.4338,1459,190,1491,270,0.354
38,1,bus,0.8988,1469,207,1816,786,2.016
38,2,car,0.6909,460,162,531,249,0.25
38,3,car,0.7403,489,133,551,178,0.25
38,6,car,0.5602,626,124,705,189,0.25
38,7,bus,0.7022,386,97,475,179,0.5
38,9,bus,0.4432,277,100,384,206,1.414
38,5,bus,0.5746,1,379,502,1063,2.658
38,21,person,0.3958,1458,190,1489,270,0.559
39,1,bus,0.8911,1473,210,1819,789,2.795
39,2,car,0.6982,460,162,531,249,0.25
39,3,car,0.7264,489,133,552,178,0.25
39,6,car,0.5762,626,125,705,189,0.25
39,7,bus,0.7365,386,97,475,179,0.354
39,9,bus,0.5621,276,100,385,207,1.118
39,5,bus,0.6448,1,376,505,1063,2.915
39,21,person,0.4481,1458,189,1489,269,0.707
40,1,bus,0.9029,1475,212,1821,793,2.704
40,2,car,0.6837,460,162,531,248,0.25
40,3,car,0.7328,489,133,552,178,0.0
40,6,car,0.5769,626,125,705,189,0.25
40,7,bus,0.6901,386,97,475,179,0.25
40,9,bus,0.5368,272,100,383,208,1.581
40,5,bus,0.7474,1,373,506,1062,2.574
40,21,person,0.457,1457,189,1488,268,0.707
41,1,bus,0.9043,1476,211,1823,795,3.01
41,2,car,0.6864,460,162,530,248,0.0
41,3,car,0.7477,489,133,552,178,0.0
41,6,car,0.565,626,125,705,189,0.25
41,7,bus,0.7425,386,97,476,180,0.0
41,9,bus,0.6189,267,100,380,209,2.305
